Word,Count
Tanah,4
Lot,4
Beraban,1
Kec,21
Kediri,1
Kabupaten,23
Tabanan,5
Bali,74
82121,1
8,106
6212,1
S,34
115,64
0868,1
E,34
4,47
6,17
75899,1
https,34
www,34
google,34
com,34
maps,34
place,34
6212118,1
0846145,1
17z,28
data,34
4m5,15
3m4,15
1s0x2dd237824f71deab,1
0xcaabe270f7e34d69,1
8m2,34
3d,34
621213,1
4d115,32
086807,1
is,33
a,39
rock,1
formation,1
off,1
the,58
Indonesian,5
island,5
of,39
It,4
home,1
to,32
ancient,1
Hindu,6
pilgrimage,1
temple,13
Pura,13
literally,1
popular,3
tourist,8
and,37
cultural,1
icon,1
for,40
photography,1
Yes,31
entrance,15
tickets,1
cost,4
20,5
000,52
Rupiah,1
nationals,1
Rp,4
15,10
children,8
but,1
foreigners,1
have,3
pay,2
three,1
times,1
price,2
or,9
60,2
30,4
Mount,9
Batur,6
Bangli,3
Regency,10
Indonesia,15
14,2
22,4
39,1
5,10
2580,1
Mt,1
2401298,1
3774944,2
14z,2
3m1,31
4b1,31
1s0x2dd1f403c8e8ee3f,1
0xd38045afa18670b4,1
2401299,1
Gunung,1
an,11
active,1
volcano,1
located,7
at,4
center,1
two,2
concentric,1
calderas,1
north,2
west,2
Agung,7
on,11
The,10
trekking,1
around,5
IDR,43
100,3
38,1
USD,49
per,14
person,13
may,1
vary,1
from,11
one,8
season,1
another,2
trek,2
will,2
be,5
800,1
51,1
3,17
people,2
inclusive,1
registration,1
private,2
transfer,1
guide,1
till,1
1PM,1
Uluwatu,5
Temple,11
South,2
Kuta,13
Badung,10
8291,1
0849,1
28800,1
8293567,1
0851721,1
1s0x2dd24ffc20cb8191,1
0xcb98d1ba7db0495,1
8291432,1
0849069,1
regarded,2
as,6
sad,1
kahyangan,1
dedicated,1
Sang,1
Hyang,1
Widhi,1
Wasa,1
in,26
his,3
manifestation,1
Rudra,1
1,14
fee,12
2,10
adults,6
Ubud,9
Monkey,5
Forest,5
Jl,18
Kecamatan,2
Gianyar,13
80571,2
5194,1
2606,1
36099,1
Sacred,1
Sanctuary,1
5193727,2
2606299,2
1s0x2dd23d43f6189b67,1
0xb6ec43164befc356,1
Mandala,1
Suci,1
Wenara,1
Wana,1
well,2
known,3
sanctuary,2
natural,2
habitat,1
Balinese,11
long,1
tailed,1
macaque,1
Visit,1
are,6
subject,5
50,7
adult,5
40,4
kid,3
ticket,6
can,2
bought,1
counter,2
which,4
just,2
before,2
gate,1
forest,1
Goa,6
Gajah,3
5069,1
2625,1
6683,1
5234022,1
2868531,1
1s0x2dd216319e3e8cbb,1
0xcf6f85fcf798a545,1
5234378,1
2871568,1
Elephant,1
Cave,1
near,3
Built,1
9th,1
century,2
it,3
served,1
Adult,2
Child,2
25,4
Parking,2
2500,2
10000,2
0,29
64,3
Jatiluwih,6
Rice,5
Terraces,2
Village,5
Kawan,1
No,5
Desa,3
Penebel,1
82152,1
07,2
49,1
7,10
7798,1
37031,2
131372,2
1s0x2dd227ab020cd7fb,1
0x2f0f875ff3e6839a,1
rice,3
terraces,2
cover,1
more,2
than,2
600,1
hectares,1
fields,1
along,1
hillsides,1
Batukaru,1
mountain,1
range,2
tend,1
less,1
crowded,1
Tegallalang,7
You,1
ll,1
also,2
find,1
fewer,1
touts,1
here,1
so,1
s,2
easier,1
walk,1
explore,2
without,1
being,1
hassled,1
Terrace,3
about,2
extra,3
35c,1
car,3
park,8
Tenggalang,1
Raya,11
80561,2
4028,1
2880,1
33732,1
4340403,2
2792569,2
1s0x2dd2220b23f900e3,1
0x8d1a8969386c04ed,1
district,2
5000,2
33,1
parking,4
Ulun,3
Danu,3
Bratan,2
Danau,1
Beratan,3
Candikuning,1
Baturiti,3
82191,2
16,1
31,3
9,2
59,1
29178,1
2751807,2
1668234,2
1s0x2dd1896c9fac0857,1
0x18246568e4db1b53,1
major,2
Shaivite,1
Seminyak,3
Beach,8
6913,1
1682,1
3195,1
6899792,1
1562856,1
15z,3
1s0x2dd2471c804bfd05,1
0xdcc2b5ae63dc9082,1
6920123,1
1578837,1
mixed,1
residential,1
area,6
coast,1
Legian,1
depending,4
location,4
places,4
visited,4
Nusa,3
Dua,3
7941,1
2302,1
6171,1
8004119,1
2360119,2
1s0x2dd242d6feba16fd,1
0x84a7328be1e50953,1
8004121,1
resort,2
built,2
1970s,1
southern,3
part,2
Besakih,7
countryside,1
Rendang,1
sub,1
Karangasem,7
regency,2
3739,1
4522,1
9672,1
Great,1
3738651,2
4522394,2
1s0x2dd21cbe3748b2b7,1
0xbfc39798cd1bb4a,1
pura,3
complex,3
village,4
slopes,1
eastern,1
most,1
important,1
largest,1
holiest,1
Hinduism,1
series,1
temples,2
visit,5
District,2
7185,1
1686,1
37663,1
7180325,1
1680346,1
1s0x2dd246bc2ab70d43,1
0x82feaae12f4ab48e,1
7184926,1
1686322,1
administratively,1
urban,1
kelurahan,1
capital,1
A,1
former,2
fishing,1
was,2
first,1
towns,1
see,1
substantial,1
development,1
beach,2
remains,1
destinations,1
accessible,1
24,4
hours,1
days,2
week,1
required,1
chairs,1
with,12
umbrellas,1
Rp50,3
Penataran,4
Lempuyang,7
Telaga,1
Mas,1
Tri,1
Buana,1
Abang,3
80852,2
23,1
29,4
37,3
52,2
6192,1
3913794,1
6306937,1
1s0x2dd2071753222893,1
0x40a0fd58fe779263,1
3913712,1
630697,1
slope,1
considered,1
surrounding,2
highly,1
If,1
previously,1
visitors,4
could,2
give,1
donations,1
Now,1
international,2
Rp55,1
admission,1
doesn,1
t,1
include,1
sarong,1
prepare,1
Rp10,1
rent,1
bring,1
Besides,1
now,1
get,1
their,1
vehicles,1
Then,1
continue,1
shuttle,1
bus,1
return,1
trip,1
Sidemen,3
Valley,2
East,1
08,3
26,1
41,1
02,1
172,1
Countryside,1
505544,2
3557232,1
12z,1
4m10,1
1m2,1
2m1,1
1ssidemen,1
valley,2
3m6,1
1s0x2dd210f87453e769,1
0x6c3a2008aef6f898,1
425761,1
15sCg5zaWRlbWVuIHZhbGxleZIBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA,1
16s,18
2Fg,13
2F11bwkgmsh7,1
evokes,1
feel,1
Old,1
throngs,1
descended,1
Sleepy,1
villages,1
snuggle,1
amid,1
cascading,1
cloud,1
capped,1
looms,1
background,1
like,1
benevolent,1
sentry,1
Tirta,9
Empul,6
Manukaya,1
Tampaksiring,2
80552,1
18,2
57,1
16456,1
4157038,1
3153042,1
1s0x2dd218f4e06131b5,1
0x53a25a017714ecc1,1
4158511,1
3150247,1
water,7
town,2
compound,1
consists,1
petirtaan,1
bathing,2
structure,1
famous,1
its,2
holy,2
spring,3
where,1
Hindus,2
go,1
ritual,1
purification,1
pond,1
has,2
gives,1
out,1
fresh,1
regularly,1
consider,1
amritha,1
means,1
Holy,1
Spring,3
West,4
National,4
Park,14
Buleleng,4
114,4
2912,1
1276114,2
4731514,1
1s0x2dd143657d50a467,1
0xc6efbc99a654d0b2,1
4d114,2
4753401,1
Taman,4
Nasional,1
Barat,1
national,1
Entrance,2
Fee,2
Rp200,1
Rp300,1
21,3
Opening,2
Hours,3
00,6
Telp,1
Number,1
Address,1
Pemuteran,2
Jembrana,1
81155,1
Garuda,6
Wisnu,5
Kencana,5
Cultural,4
St,1
Ungasan,2
80364,1
8104,1
1676,1
50703,1
8104228,2
1675986,2
4m6,17
3m5,17
1s0x2dd244cf54e1dec7,1
0x1988663e064f5a51,1
16zL20vMGRyenpx,1
authuser,18
hl,18
en,18
Budaya,1
GWK,1
destination,1
attraction,1
10,4
minutes,1
drive,1
Ngurah,2
Rai,1
International,1
Airport,1
devoted,1
god,1
Vishnu,1
mount,1
mythical,1
bird,2
who,3
became,1
companion,1
Rp100,1
Rp125,1
WITA,1
Zoo,2
Singapadu,3
Sukawati,8
80582,3
5913,1
2659,1
14401,1
5912638,2
2659161,2
1s0x2dd23e3e4361eea5,1
0x3bf4eb36bfd7c6be,1
2F1tk_rlbg,1
Large,1
zoo,1
featuring,1
orangutans,1
elephants,1
African,1
lions,1
plus,4
interactive,1
encounters,1
shows,2
Starting,1
From,1
90,1
Openin,1
09,1
17,1
Bird,3
Serma,1
Cok,1
Gambir,1
Batubulan,1
36,4
9847,1
59998,2
25185,2
1s0x2dd23e4efac54c0f,1
0x5f8920acf656382c,1
2Fm,5
2F0_fn070,1
Animal,1
exotic,1
feedings,1
displays,1
reptiles,1
native,1
plants,1
cafe,1
basic,2
costs,2
385,1
54,1
192,1
500,1
12,2
27,3
between,2
years,3
old,3
Apart,2
this,2
reptile,1
INR,1
237,1
Gangga,2
Jalan,5
Adat,1
Ababi,1
4123,1
5873,1
12992,1
4123473,2
5872919,2
1s0x2dd24736f4379ad1,1
0x65af03b0d108a7d1,1
2F09rv951,1
Elegant,1
spiritual,1
retreat,1
gardens,3
surrounded,2
by,2
springs,2
swimming,1
picnicking,1
Tirtagangga,1
palace,2
19,4
tourists,1
Visitors,1
swim,2
pool,1
Rp20,1
Tegenungan,3
Waterfall,3
Ir,1
Sutami,1
Kemenuh,1
80581,1
5754,1
2888,1
23349,1
5753506,1
288777,1
1s0x2dd2161beebd0c61,1
0xc1ae79ddb8410c5e,1
5753134,1
2887691,1
2F11bvx3j8m8,1
Scenic,1
waterfall,2
lush,2
jungle,2
setting,1
above,1
shallow,1
cafes,1
nearby,1
96,2
child,2
Tickets,1
purchased,1
front,1
Swing,2
Dewi,1
Saraswati,1
Bongkasa,1
Pertiwi,1
Abiansemal,1
80352,1
8311,1
4886834,1
2392541,1
1s0x2dd23d2bb78f98e5,1
0xdc87cb5e74348952,1
4886742,1
2392573,1
2F11dxl6hnl9,1
Adventure,1
outfit,1
offering,4
tours,1
rafting,1
trips,1
rope,1
swings,1
views,2
45,3
Waterboom,1
Kartika,1
Plaza,1
Tuban,1
80361,1
7286,1
1694,1
10650,1
Waterbom,1
7285745,1
1693743,1
1s0x2dd246a3ee8f82df,1
0x1291d693f3407fa5,1
7285759,1
1693786,1
2F1tdz276n,1
Lively,1
rides,2
all,1
ages,1
restaurants,2
food,1
court,1
up,1
bar,1
However,1
single,1
pass,2
355,1
63,1
11,1
495,1
55,1
565,1
99,1
75,2
family,1
There,1
day,1
those,1
want,1
again,1
Campuhan,4
Ridge,3
Walk,3
Kelusa,1
Payangan,1
Sayan,1
5036,1
2547,1
9019,1
5036172,2
2547038,2
1s0x2dd23d6bcaf473f5,1
0x7c13fd74aa1bc49f,1
2F11bv_dhkhx,1
Lush,1
scenic,2
locale,2
mellow,1
hiking,1
trails,1
sweeping,1
hilltop,1
free,1
easy,1
nature,1
among,1
regular,1
central,1
highland,1
This,4
trail,1
presents,1
pristine,1
outback,1
escape,1
contemporary,1
boutique,1
guesthouse,1
restaurant,1
lined,1
Safari,3
Marine,3
Prof,1
Dr,1
Ida,1
Bagus,1
Mantra,1
km,2
Serongga,1
80551,1
35,1
024,1
344,1
16042,1
580947,2
3452337,2
1s0x2dd21446b81f7d39,1
0x34b39c786c2e54ec,1
2F0lkqtcl,1
Family,1
friendly,1
safaris,1
animal,1
viewing,1
elephant,1
entry,1
720,1
89,1
576,1
71,1
if,1
wants,1
take,1
pickup,1
service,1
they,1
amount,1
450,1
28,1
68,1
both,1
ways,1
Bajra,3
Sandhi,3
Monument,3
Puputan,1
142,1
Panjer,1
Denpasar,4
Selatan,1
Kota,1
80234,1
6717,1
2339,1
12694,1
6717348,2
233902,2
1s0x2dd240f5b0baad2f,1
0xf67150ab4e009a2c,1
2F0n45qhz,1
Ornate,1
landmark,1
monument,1
grassy,1
91,1
Art,2
Market,2
5965,1
2826,1
8248,1
5965307,2
2826055,2
1s0x2dd23e28616c410d,1
0x960eaffe9f543e3c,1
2F11gzm8537,1
Colorful,1
marketplace,1
merchants,1
selling,2
apparel,1
jewelry,1
locally,1
made,1
souvenirs,1
Ujung,3
Water,1
Palace,1
Tumbu,1
80811,1
4631,1
6307,1
3984,1
4630811,2
6306692,2
1s0x2dd20876e3e79815,1
0xfc9ab3edaa5d11f2,1
2F011l7bd6,1
1909,1
features,1
large,1
pools,2
historical,1
photos,1
78,1
Secret,2
Garden,3
Bedugul,1
Mekarsari,3
3727,1
1933,1
4432,1
3726762,1
1933301,1
4m9,1
3m8,1
1s0x2dd2212ba32a0087,1
0xabd3c3b7c8f647ef,1
5m2,1
4m1,1
1i2,1
3726794,1
1933311,1
2F11cjhzdxpb,1
Beatiful,1
Located,1
starting,5
87,1
Penglipuran,3
Kubu,1
80611,1
32,2
13207,1
4222473,2
359306,2
1s0x2dd2196eace4f4a9,1
0x3319169adf0c3419,1
2F11g6htx9w5,1
Traditional,1
handicrafts,1
local,1
produce,1
homestay,1
accommodation,1
48,1
Banjar,5
Hot,3
81152,1
2105,1
9671,1
2422,1
210536,2
967053,2
1s0x2e6f62183e68d4d7,1
0xd6004ccdd7930d5e,1
2F1q62gc8c0,1
tropical,2
showers,1
eatery,1
spa,1
Pulina,2
Pujung,1
Kaja,1
Sebatu,1
4227,1
2788,1
3960,1
4227455,2
2788239,2
1s0x2dd222990001f90b,1
0x46117dc3c84b0af2,1
2F11bc7r5jvk,1
Sprawling,1
venue,1
vegetation,1
coffee,1
tea,1
tastings,1
zipline,1
through,1
foliage,1
Lawah,3
CFX9,1
9GG,1
Pesinggahan,1
Dawan,1
Klungkung,1
80761,1
5516,1
4688,1
4479,1
5515731,1
4688279,1
1s0x2dd212002b27b8a9,1
0x64d9703162191aad,1
5515375,1
468823,1
2F11g9swjzff,1
small,1
11th,1
constructed,1
bat,1
filled,1
cave,1
Pantai,3
Batu,3
Bolong,3
Canggu,1
Utara,1
6595,1
1301,1
7248,1
6594822,1
1301361,2
1s0x2dd2478621f5b693,1
0xa157bd1e893b4293,1
6594824,1
2F1hc2cr7jt,1
sandy,1
shops,1
surfers,1
board,1
rentals,1
included,1
ranging,1
2000,1
motorcycle,1
13,1
